Bez.;Sinnfindung;Burnout;Depression;Selbstbwusstsein;Beziehungsberatung;Selbstdisziplin;Motivation;Stressmanagement;Zeitaufwand;Trigger-Rating;Intensität;Zweck;Kategorie;Tageszeit;Push-Meldung zur Übung;Übungsart/Durchführungsweise;Rational;Durchführbarkeit;Wirksamkeit;Verständlichkeit;Hilfestellung;Qualität-Ergebnis;Quelleinverifizierung 1;Besonderheiten;Filter-Ausschluss;Titel-Button;Titel;Quelle Ursprung;Beschreibung;Rational;Quelle Rational;Anweisungen;Material;HIlfestellung;Tabellen etc.;Anwendung;Interkatives Element (Tabellen, Bilder, Audio, Video, Swipe-Bewegung um zB etwas zu löschen aus einer Tabelle, sonstiges Element was gut wäre um die Übung lebhaft + abwechslungsreich + animiert zu machen,..);;Farblegende
1.01;nein;nein;nein;nein;nein;ja;ja;ja;12h / 3 min;Schwach;Anfang;"Selbst Tracking stärkt das Bewusstsein für eigene Empfindungen; Training um Aufmerksamkeit auf eigene Gefühle zu lenken; Stärkung Selbstkontrolle; Muster erkennen";Selbstkontrolle, Gefühle bewusst machen, Selbsterkenntnis;alle;Ja, bräuchte alle 1-2 h eine Erinnerung an Einschätzung;praktisch;1;1;0,5;1;1;0,82;vorhanden;;;Erkenne Deinen Tag;Erkenne Deinen Tag;;Einen ganzen Tag widmest Du Dich jede volle Stunde der Beantwortung von drei Fragen, die sich auf Dein jeweiliges Erleben und Verhalten während dieser Stunde beziehen. Mit Abschluss der Übung kannst Du Dein Erleben und Verhalten im Tagesverlauf reflektieren und prüfen ob Du zukünftige Tage genau so oder anders erleben möchtest.;Diese Übung ermöglicht es Dir, einen Tag in Deinem Leben aus einer anderen Perspektiv zu betrachten. Nach Abschluss der Übung schaust Du wie ein Beobachter auf das, was Du im Laufe dieses Tages erlebt und wie Du Dich verhalten hast. Damit machst Du Dich selbst zum Thema, denn vor allem unser Erleben lässt sich nicht so einfach beobachten. Erhöhte Aufmerksamkeit auf Dich selbst kann es Dir erleichtern zu verstehen, warum Du Deinen Tag wie erlebst und wie Du Dich verhältst. Das ist ein wichtiger Baustein wenn es darum geht, Deinen Tag so zu gestalten, dass Du Dich mit Deinem Erleben und Verhalten wohl fühlst.;Pritz, S. M. (2016). Mood Tracking: Zur digitalen Selbstvermessung der Gefühle. In: S. Selke (Ed.), Lifelogging (pp. 127–150). Springer. doi:10.1007/978-3-658-10416-0_6;"Beantworte die folgenden drei Fragen innerhalb von 24 Stunden 1x stündlich, außer wenn Du schläfst. Deine Antworten kannst Du direkt hier eintragen. Hier sind Deine drei Fragen:\n
Wie habe ich die vergangene Stunde verbracht?
Wie habe ich mich in der vergangenen Stunde gefühlt?
Wie war die vergangene Stunde für mich? (schlecht/mittelmäßig/gut)";Optional: Stift und Papier;Versuche die Beantwortung der Fragen ohne Bewertung vorzunehmen.;Nr.;;Tabelle zum Ausfüllen mit vier Spalten (3 für Inhalte, Gefühle, Bewertung) und Zeilen für die einzelnen Stunden können manuell hinzugefügt werden;;gecheckt von Zweitkorrektor:in
1.02;ja;nein;nein;ja;nein;nein;nein;nein;15;Schwach;Anfang;Stärken herausfinden, etwas dauerhaftes haben zu dem zurückgekehrt werden kann, was die Stärken verdeutlicht. Im stressigen Alltag geht es schnell verloren, dass man Dinge gut kann, sodass diese Übung auch die vorhandenen Ressourcen & Struktur stärken soll.;Stärken, Ressourcen, Struktur;alle;Nein;praktisch;1;1;0,5;1;1;0,82;vorhanden;Kann ebenso wie 1.24 immer mal wieder angezeigt werden;;Stärkenkärtchen;Stärkenkärtchen;Diese Übung zielt darauf ab, Deine individuellen Stärken durch gezieltes Nachdenken herauszufinden. Anhand Deiner besonderen Stärken, Fähigkeiten und Fertigkeiten beziehungsweise anhand von Tätigkeiten, die Dir Spaß machen oder an denen du noch arbeiten möchtest, stellst Du Dein persönliches Stärkenkärtchen zusammen. ;Diese Übung zielt darauf ab, Deine individuellen Stärken herauszufinden. Durch gezieltes Nachdenken über Deine Stärken, die Dinge, die Du gut kannst & die Dir Spaß machen, stellst Du Dein individuelles Stärkenkärtchen zusammen. Du kannst hier ebenso Dinge eintragen, an denen Du noch arbeiten möchtest, die Du also verbessern willst.;Dein Stärkenkärtchen ist vor allem in Lebenslagen hilfreich, in welchen Du Dich weniger selbstbewusst fühlst. Es kann Dir dabei helfen, Dir Deine Stärken wieder vor Augen zu führen. Deine Stärken zu kennen macht es zudem wahrscheinlicher, dass Du gesetzte Ziele auch erreichst.;;"Erstelle Dein Stärkenkärtchen, indem Du Deine persönlichen Stärken, ohne eine bestimmte Reihenfolge schriftlich in Stichpunkten oder in Sätzen auflistest. Die folgenden Fragen können Dir helfen, aber du musst nicht alle beantworten:\n
Was kann ich besonders gut?
Was fällt mir leicht?
Was bereitet mir Freude?
Wofür werde ich geschätzt oder gelobt?
In welchen Bereichen verfüge ich über besonderes Wissen?
";Stift und Papier;Du könntest auch Bekannte oder Dir nahestehende Menschen fragen, was in ihren Augen Deine Stärken sind. Auch wenn Dir das vielleicht unangenehm ist, so können daraus hilfreiche und erfreuliche Gespräche entstehen.;Nr.;;Zweispaltige Tabelle als Beispiel mit verbundener ersten Zeile & die gleiche Tabelle zum selbst ausfüllen ;;Klärungsbedarf, siehe Kommentarspalte
1.04;nein;nein;nein;ja;ja;nein;nein;nein;6;Schwach;Anfang;Herauszufiltern, welche energiefressende Menschengruppen sind & mit welchem Menschen man lieber zu tun hat. Anschließende Ausrichtung des Lebens darauf, um weniger Energie zu verlieren.;Alltagsausrichtung, Energiefresser vermeiden, Struktur;alle;Nein;imaginär;1;1;0,5;1;1;0,82;vorhanden;;nicht wenn 2.4.3 schon gemacht wurde;Gästeliste;Gästeliste;mentalport, 2021;In der Übung stellst Du Dir vor, dass Du zu einer Party Deine liebsten Gäste einlädst. Anschließend überlegst Du Dir in welcher Beziehung sie zu Dir stehen und welche Gemeinsamkeiten sie haben um an Ende einen Vorstellung davon zu haben, welche Menschen Du in Deinem Leben aktuell gern um Dich hast und/oder in Zukunft haben möchtest.;Wenn Du Deine Lieblingsgruppen kennst gibt Dir das die Kraft, Dich auf diese zu konzentrieren und Dich von anderen Menschen, die Dir nicht gut tun, fernzuhalten. Es wird Dir zukünftig leichter fallen, so zu handeln.;62;Erstelle in Gedanken eine Gästeliste für eine Party mit Menschen, die Dir sympathisch sind oder die Du gerne kennenlernen möchtest.\n Anschließend stelle dir vor: Deine Gefühle als Gastgeberin, die Gesprächsthemen und Stimmung auf der Party sowie die Kleidung von Dir und Deinen Gästen.\n Überlege nun, mit welchen Menschen Du Dich zukünftig umgeben möchtest und welche Du meidest. ;Kein Material erforderlich;Denke auch an Menschen oder Menschengruppen, die Dir nicht gut tun.;N/A;;-;;
1.06;ja;nein;nein;nein;ja;nein;ja;nein;20;Schwach;Mittel;Sich selbst besser kennen lernen.;Sich besser kennen lernen, Selbstverständnis & Auseinandersetzen mit sich selbst, Selbsterkenntnis, Selbstverständnis;abends;Nein;praktisch;0;1;0,5;1;1;0,7;vorhanden;;;Prägungstabelle;Prägungstabelle;Nawatzki, J. (2013). Mit Selbstcoaching zum Traumjob. Springer. doi:10.1007/978-3-658-01309-7;"Im Laufe unseres Lebens sammeln wir ständig Eindrücke und einige davon prägen uns nachhaltig, begleiten uns ein Leben lang. Wir treffen auf neue Menschen oder hören unbekannte Lieder, die ein ""Das werde ich nie vergessen!"" auslösen. Genau solche Erfahrungen sind Thema der Übung.";Die Übung zielt darauf ab, Dich selbst besser kennenzulernen und dieses Wissen für Deine Zukunft nutzen zu können.;;Erinnere Dich an prägende Erfahrungen in Deinem Leben und frage Dich, warum diese prägend waren.\n Als Hilfestellung findest Du in der ersten Spalte der Tabelle einige Oberkategorien zum Einordnen Deiner Erfahrungen. Findest Du zu einer Kategorie keine prägende Erfahrung, lasse die betreffende Zeile leer. Du kannst die erste Spalte auch um eigene Kategorien ergänzen.;Optional: Stift und Papier;Möglicherweise fällt es Dir schwer, die Frage nach prägenden Erfahrungen in Deinem Leben zu beantworten. Versuche dann die Erfahrungen abzurufen, die Du am genausten in Erinnerung hast, wenn Du zurückdenkst und etwa an Deine Begegnung mit bis dahin noch fremden Menschen denkst.;Nr.;;Tabelle zum ausfüllen mit vier Spalten, 1. Zeile & 1. Spalte ausgefüllt, Rest kann selbst ausgefüllt werden;;
1.07;ja;nein;nein;nein;nein;ja;ja;nein;25-30;Schwach;Mittel;Aus vorhandenen Stärken selbst Tätigkeiten entwickeln, um diese durchzuführen. Dadurch soll selbst eine sinnstiftende Tätigkeit gefunden werden, die Spaß macht.;Sinnstiftung, Struktur, neue Tätigkeit ausdenken um etwas zu finden was den Stärken entspricht, Selbsterkenntnis;abends;Nein;praktisch;1;1;0,5;0,8;1;0,78;stammt von uns;nach 1.2;;Spaß finden;Spaß finden;Nawatzki, J. (2013). Mit Selbstcoaching zum Traumjob. Springer. doi:10.1007/978-3-658-01309-7;Die Übung besteht in einer vertiefenden Auseinandersetzung mit Deinen Stärken. Du leitest Tätigkeiten aus Deinen Stärken ab und legst dann eine Übersicht von Tätigkeiten an, an denen Du Spaß hast.;;Miller, A. & Mattson, R. T. (1989). The truth about you. Fleming H. Revell Co..;"Führe Dir zunächst Deine Stärken deutlich vor Augen. Solltest du hierbei Schwierigkeiten haben, führe vorab die Übung „Stärkenkärtchen“ durch. Verbinde jede Deiner Stärken mit einer Tätigkeit die dadurch begünstigt wird.\n Beantworte nun die folgenden Fragen in Bezug auf die von Dir gewählten Tätigkeiten und trage die Antworten in die Tabelle ein.\n Danach beginnst Du mit der Analyse: Überlege Dir für die Tätigkeiten, bei denen Du in allen Spalten ""ja"" eingetragen hast, drei Einsatzmöglichkeiten.\n
Beispiel Fremdsprachen als Stärke:
1. Auslandsaufenthalt
2. Sprachkurs anbieten
3. Kontakt zu Muttersprachlern knüpfen
";Optional: Stift und Papier;Aus Deinen Stärken kannst Du eine große Zahl an Tätigkeiten ableiten. Wenn Du nach dem Befüllen einer Tabellenzeile also nicht zufrieden mit dem Ergebnis bist, kannst Du einfach über weitere Tätigkeiten nachdenken, die Du noch aus einer bestimmten Stärke formen könntest.;Nr.;;Tabelle zum ausfüllen mit fünf Spalten, 1. Zeile vor-ausgefüllt;;
1.08;ja;nein;nein;nein;nein;nein;nein;nein;30-40;Schwach;Mittel;Erkennen eigener Kompetenzen, Finden einer Tätigkeit die Spaß & Sinn bereitet, Ausrichtung des Berufes auf vorhandene Kompetenzen, sich besser kennen lernen.;Auseinandersetzung mit sich selbst, Selbsterkenntnis, Tätigkeit finden, Stärken;alle;Nein;praktisch;1;1;0,5;1;1;0,82;vorhanden;;;Roter Faden;Roter Faden;mentalport, 2021;"In der Übung beschäftigst Du Dich aktiv mit bisherigen Erfolgserlebnissen. Ziel der Übung ist es, Dir den ""roten Faden"" in Deinem Leben bewusst zu machen und zu erkennen, was Dir bisher Spaß gemacht hat und was Dir auch in Zukunft Spaß bereiten könnte.";Diese Übung geht auf das Konzept der unbewussten Phantasie, welches von der Psychoanalytikerin Isaacs 1948 beschrieben wurde, zurück. Diese Übung versucht, unbewusste Wünsche aus unserem Innern hervorzuholen. Diese finden wir meist in unserer Kindheits- und Jugendzeit. ;Isaacs, S. (1948). The nature and function of phantasy. The International Journal of Psychoanalysis, 29, 73–97.;"Um Deine bisherigen Erfolgserlebnisse abrufen zu können, hältst Du Dich zunächst an besondere Lebensereignisse. Gehe chronologisch vor und beginne mit dem Ereignis, welches am weitesten zurückliegt.\n 
Fülle hierfür folgende Tabelle aus: 
1. Spalte: Alter 
2. Spalte: besonderes Lebensereignis
3. Spalte: Tätigkeit, die Dir Freude & Erfolg bescherten
4. Spalte: Hobby & Freizeit
5. Allgemeines Lebensgefühl zu dieser Zeit\n

Beispiel Kindergartenzeit:
1. Alter 4 Jahre
2. Kindergartenzeit
3. Bilder malen
4. Kinderturnstunde 
5. Unbeschwertheit, Abenteuerlust
Fahre fort bis Du in Deinem aktuellen Lebensabschnitt ankommst.\n 
Schreibe nun über fünf dieser Erfolge je eine kurze Geschichte und überlege, warum Dich diese Erinnerung und dieser Erfolg berühren. Diese Geschichte soll die Herausforderungen & Aufgaben in dieser Zeit, Vorgehensweisen und Ergebnisse enthalten.\n 
Unterstreiche in jeder Geschichte die von Dir eingesetzte Kompetenzen. Ordne diese den Kernkompetenzen den folgenden Kategorien dieser Tabelle zu: 
1. Spalte: Kompetenz
2. Spalte: Umgang mit Menschen
3. Spalte: Umgang mit Informationen und Konzepten
4. Spalte: Kreative Fähigkeiten
5. Spalte: Umgang mit Material, Werkzeug und Maschinen\n

In der abschließenden Auswertung betrachtest Du, welche Tätigkeiten Dir großen Spaß bereiteten und welche Kompetenz-Kategorie an Einträgen überwiegt. 
Was fällt Dir dabei auf? 
Gibt es Kompetenzbereiche die überwiegen? 
Kannst Du Dir vorstellen, anhand dieser Kompetenzen Dein berufliches Leben auszurichten?
 ";Optional: Stift und Papier;;Nr.;;Tabelle zum ausfüllen mit vier Spalten, 1. Zeile & 1. Spalte ausgefüllt, Rest kann selbst ausgefüllt werden;;
1.09;ja;nein;nein;ja;nein;nein;nein;nein;2-8 * 10;Schwach;Anfang;Auseinandersetzung mit sich selbst, sich besser kennen lernen, Selbstwirksamkeit stärken, über einen längeren Zeitraum Stärken sammeln, bewusst werden über eigene Potentiale;Selbsterkenntnis, Stärken, Ressourcen, Potential;alle;"Ja, sobald Übung 1 Woche bei ""aktuell"" ist und noch nicht genug Items gefunden wurden.";praktisch;1;1;1;1;1;1;vorhanden;"Zusätzlich: Dialogfeld --> Abfrage ob bereits fertig gestellt wurde wenn genug Items vorhanden --> so lange bei ""aktuell"" anzeigen";;Stärkensammlung;Stärkensammlung;Happich, G. (2014). Was wirklich zählt! (2nd ed.). Springer. doi:10.1007/978-3-658-06498-3;Im Rahmen der Übung legst Du eine Liste mit insgesamt 60 Stärken an. Die Liste erstellst Du dabei nicht in einem Mal, sondern arbeitest über einen längeren Zeitraum immer wieder daran.;"Dir über Deine eigenen Stärken im Klaren zu sein, ist eine wichtige Grundlage für die Entwicklung Deiner mentalen Stärke. Weißt Du, was Deine Stärken sind, so kannst Du Dich vor allem in schwierigen Lebenslagen darauf zurückberufen. Du hast parat, was Du kannst und was Dich einzigartig macht, solltest Du das scheinbar ""vergessen"" haben. Das kann Dir Halt geben und Dich schwierige Phasen erfolgreich überwinden lassen.";"Knörzer, W., Amler, W., Heid. S., Janiesch, J., & Rupp, R. (2019). Das Heidelberger Kompetenztraining. Springer. doi:10.1007/978-3-658-24397-5
";"Ziel der Übung ist es, eine Liste zu erstellen, die 60 Stärken enthält, die Du und/oder andere Menschen Dir zuschreiben. Folgende Fragen können Dir helfen, Deine Stärken zu finden:\n
Was kann ich gut?
Worin bin ich talentiert?
Welche Fähigkeiten habe ich?\n
Was ist mir wichtig?
Was fällt mir besonders leicht?
Wofür loben oder bewundern mich andere Menschen?";Optional: Stift und Papier;"In Ergänzung zu den Leitfragen kannst Du auch überlegen, bei welchen Dingen Du sehr ungeduldig wirst, wenn Du sie andere Menschen tun siehst. Das kann ein Hinweis darauf sein, dass Du in diesen Dingen besonders gut bist und Dir so eine Stärke aufzeigen.
Außerdem müssen Stärken nicht immer gleich etwas sein, das kein anderer Menschen sonst noch kann. Denke also auch an alltägliche Situationen, in denen Du Dich einfach gut fühlst.";N/A;;Vlt. ein Textfeld für jede Frage;;
1.10;ja;nein;nein;ja;nein;ja;ja;nein;8;Schwach;Anfang;Selbstbewusstsein & Selbstwirksamkeit stärken, Stärken entdecken, Auseinandersetzung mit sich selbst;Selbsterkenntnis, Stärken, Selbstbewusstsein, Selbstwirksamkeit, Potential;alle;Nein;praktisch;1;1;0,5;1;1;0,82;vorhanden;5 mal durchführen, bis 5 Erfolgsgeschichten gefunden wurden --> mehrmals machen;;Erfolgsgeschichten;Erfolgsgeschichten;Happich, G. (2014). Was wirklich zählt! (2nd ed.). Springer. doi:10.1007/978-3-658-06498-3;In dieser Übung wirst Du dazu angeleitet Situationen, die Du erfolgreich gemeistert hast, in eine Geschichte zu verpacken, in welcher der Fokus auf Deinen Stärken liegt, die Du in der jeweiligen Situation zum Ausdruck bringen konntest. Am Ende der Übung hast Du deine persönliche Erfolgsgeschichte entwickelt, die Du Dir immer wieder bewusst machen und lesen kannst. ;Die Übung zielt auf eine Stärkung Deines Selbstbewusstseins ab und kann Deine Selbstwirksamkeit positiv beeinflussen. Unter Selbstwirksamkeit verstehen wir unsere Überzeugung, Herausforderungen durch unser eigenes Handeln erfolgreich meistern zu können.;Happich, G. (2014). Was wirklich zählt! (2nd ed.). Springer. doi:10.1007/978-3-658-06498-3;"Erinnere Dich zunächst an einen persönlichen Erfolg, Glücksmoment oder eine Zielerreichung zurück und widme Dich folgenden Fragen:\n
Wie kam es dazu, was ist davor passiert? 
Wie hast Du die Situation erlebt, wie hast Du Dich gefühlt? 
Wie hast Du Dich in der Situation verhalten? 
Wenn auch andere Menschen involviert waren, was haben Sie getan?\n
Verfasse nun Dein Erfolgserlebnis mündlich oder schriftlich in eine Geschichte. 
 ";Optional: Stift und Papier;Versuchst Du im Nachgang herauszufinden, welche Stärken Du in den soeben formulierten Erfolgsgeschichten zum Ausdruck bringen konntest, so kann es Dir helfen, die Perspektive zu wechseln: Wenn Dir ein anderer Mensch Deine Erfolgsgeschichte erzählen würde, was würdest Du diesem Menschen dann für Stärken zuschreiben?;N/A;;-;;
1.13;ja;nein;nein;ja;nein;nein;nein;nein;5*5;Schwach;Anfang;Alternative um Stärken zu entdecken, Auseinandersetzung mit sich selbst;Stärken, andere um Rat bitten;alle;Nein;praktisch;1;1;0,5;1;1;0,82;vorhanden;Andere um Rat bitten, Alternative für eine Übung um Stärken zu finden;;Stärkeninterview;Stärkeninterview;mentalport, 2021;In dieser Übung geht es um die Stärken, die andere Menschen in Deinem Umfeld in Dir sehen. Dir werden einige Fragen präsentiert, die Du ausgewählten Menschen in Deinem Umfeld stellen kannst. In der Übung springst Du über Deinen eigenen Schatten und bekommst dafür hilfreiche Rückmeldungen von Menschen, die Dir nahe stehen.;Die Nutzung der eigenen Stärken hängt mit positiven Veränderung zum Beispiel in Deiner Motivation, Deinem Wohlbefinden und Deiner Zufriedenheit zusammen. Um Deine Stärken nutzen zu können ist es hilfreich, Dich mit ihnen auseinander zu setzen. An den eigenen Stärken zu arbeiten, wozu auch das Gespräch mit anderen Menschen über die eigenen Stärken gehört, ist zudem vielversprechender als die Arbeit an den eigenen Schwächen. ;"Mangelsdorf, J. (2020). Positive Psychologie im Coaching. Springer. doi:10.1007/978-3-658-27632-4
Peterson, C., & Seligman, M. E. P. (2004). Character strengths and virtues: A handbook and classification. Oxford University Press.";"Überlege, mit welchen 5 Menschen aus Deinem Umfeld beispielsweise Familienmitglieder, Freund:innen oder Kolleg:innen, Du gut auskommst und gegenüber welchen Du besonderes Vertrauen empfindest. Bitte diese Menschen Dir dabei zu helfen, Deine Stärken herauszufinden. \n Stelle Ihnen folgende Fragen:
Was denkst Du, kann ich besonders gut? 
Was denkst Du, kann ich besser als andere Menschen?\n 
Weswegen würdest Du mich einem anderen Menschen empfehlen? 
Gibt es etwas an mir, was kein anderer Mensch hat, den Du kennst?
";Optional: Stift und Papier;Wenn es Dir leichter fällt, jemanden um einen Gefallen zu bitten, wenn Du eine Gegenleistung anbieten kannst, dann könntest Du vorschlagen, dass Du dieselben Fragen auch für den anderen Menschen beantworten kannst.;N/A;;-;;
1.14;nein;ja;ja;ja;nein;ja;ja;ja;3;Schwach;Anfang;Verknüpfung von Stressfaktoren mit einem Ritual zur Stressreduktion, Beginn Freizeit, Struktur;Abschalten, Ritual, Entspannung, Reflexion, Umgang mit Stress, Struktur, Energie;alle;Ja, Nachfrage nach 48 h ob Gedanken zur Arbeit noch aufkommen - falls ja dann 1.25 anbieten;imaginär;1;1;1;1;1;1;vorhanden;48 h nach beenden der Übung nachfragen ob diese Gedanken noch aufkommen & falls ja dann 1.25 anbieten;;Abendlicher Anker;Anker zum abendlichen Abschalten;König, R. (2020). Schnelle Hilfe bei Burnout. Springer. doi:10.1007/978-3-658-30301-3;"In dieser Übung findest Du eine Tätigkeit, ein Ritual oder auch einen Gegenstand (einen ""Anker""), der Dir hilft, am Abend abzuschalten.";Solche Anker-Rituale in hohem Maße dazu bei, eine Struktur und Entspannung in den Alltag zu bringen. Ein Anker ist also hilfreich um Abstand zu gewinnen und um abzuschalten. Die Einbindung eines Ankers kann bei bewusster Anwendung langfristig dazu führen, dass in unserem Körper eine heilende Wirkung entsteht.;"Rennung, M., Göritz, A.S. Die Wirkung organisationaler Rituale – Eine qualitative Interviewstudie. Gr Interakt Org 48, 327–338 (2017). https://doi.org/10.1007/s11612-017-0379-1; Grün, A. (1997). Geborgenheit finden - Rituale feiern: Wege zu mehr Lebensfreude ([Nachdr.].). Stuttgart: Kreuz-Verlag.";"Überlege Dir zunächst, was Du nach getaner Arbeit zum Feierabendbeginn tust. In dieser Übung bedienen wir uns eines Symbols: einen Anker. Dieser steht für Sicherheit, Halt und Ruhe.\n Überlege dir nun welche Tätigkeit, welches Ritual und/oder welcher Gegenstand für Dich ein Anker sein könnten. Ein solcher Anker kann z. B. das Herunterfahren Deines Computers sein (Tätigkeit), das tiefe Luftholen nachdem Du Deinen Arbeitsplatz verlassen hast (Ritual) und/oder das feste Umfassen Deines Haustürschlüssels, bevor Du Deine Haustüre aufschließt.\n Diesen Anker kannst Du nun ganz bewusst einsetzen und somit sind sämtliche arbeitsbezogenen Belange nicht mehr Deine Priorität. Überlege Dir dazu einen positiven Glaubenssatz, den Du Dir selbst aufsagen kannst, sobald Du deinen Anker setzt. Zum Beispiel: ""Jetzt gehört der Tag mir!"" Versuche ein Gefühl der Freiheit in Dir aufleben zu lassen und mit allen Sinnen wahrzunehmen. ";Optional: Stift und Papier;Um einen geeigneten Anker für Dich zu finden kannst Du auch darüber nachdenken, welche Tätigkeit am Tag für Dich mit der größten Freude verbunden ist. Möglicherweise eignet sich diese auch als Anker.;N/A;;-;;
