feedback,exerciseId,startTime,endTime,__key__,__error__,__has_error__
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",1.31,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-05-19 15:11:06.042000 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-05-19 15:11:06.042000 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""Bq43ywM9k3bFXVtHkgs7Ut4ISqE3\"", \""exerciseResults\"", \""nwgPuczMwMq7NLQqVFKz\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""nwgPuczMwMq7NLQqVFKz"",
    ""id"": null
  }
}",[],false
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",1.28,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-19 23:17:33.313726 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-19 23:17:33.313728 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""exerciseResults\"", \""0B0a9ly759Zdet0IaLsU\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""0B0a9ly759Zdet0IaLsU"",
    ""id"": null
  }
}",[],false
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",1.31,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-19 23:21:42.774277 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-19 23:21:42.774279 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""exerciseResults\"", \""2iIhT3ilkFiWsjEdpjca\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""2iIhT3ilkFiWsjEdpjca"",
    ""id"": null
  }
}",[],false
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",1.6,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-20 23:51:33.242928 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-20 23:51:33.242937 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""exerciseResults\"", \""2sB6jzkNkWvIorZhpL0q\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""2sB6jzkNkWvIorZhpL0q"",
    ""id"": null
  }
}",[],false
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",1.53,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-04-16 14:59:23.206502 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-04-16 14:59:23.206516 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""exerciseResults\"", \""3K1snyZ1DXSGATpwrL5G\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""3K1snyZ1DXSGATpwrL5G"",
    ""id"": null
  }
}",[],false
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",2.15,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-22 17:01:28.998261 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-22 17:01:28.998263 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""exerciseResults\"", \""3MoLk9r5kr6IIneukupS\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""3MoLk9r5kr6IIneukupS"",
    ""id"": null
  }
}",[],false
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",2.1,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-06-30 09:20:15.833050 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-06-30 09:20:15.833057 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""exerciseResults\"", \""4k8dY2eaP4xd5r5vKHR7\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""4k8dY2eaP4xd5r5vKHR7"",
    ""id"": null
  }
}",[],false
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",1.65,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-22 21:23:26.127001 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-22 21:23:26.127002 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""exerciseResults\"", \""5EtgHHk8qQZwHBofMkpV\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""5EtgHHk8qQZwHBofMkpV"",
    ""id"": null
  }
}",[],false
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",1.53,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-04-16 15:00:18.758716 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-04-16 15:00:18.758740 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""exerciseResults\"", \""5wCjm2JKsbUuCeoG80ZY\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""5wCjm2JKsbUuCeoG80ZY"",
    ""id"": null
  }
}",[],false
"{
  ""feedback"": {
    ""moodRating"": null,
    ""exerciseRating"": {
      ""execution"": null,
      ""satisfaction"": null,
      ""__key__"": {
        ""namespace"": """",
        ""app"": """",
        ""path"": """",
        ""kind"": null,
        ""name"": null,
        ""id"": null
      }
    },
    ""__key__"": {
      ""namespace"": """",
      ""app"": """",
      ""path"": """",
      ""kind"": null,
      ""name"": null,
      ""id"": null
    }
  }
}",1.25,"{
  ""startTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-22 21:09:39.330484 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""endTime"": {
    ""string"": null,
    ""date_time"": ""2022-09-22 21:09:39.330487 UTC"",
    ""provided"": ""date_time""
  }
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""exerciseResults\"", \""67KHTtAl7mQMYN6KqIGX\"""",
    ""kind"": ""exerciseResults"",
    ""name"": ""67KHTtAl7mQMYN6KqIGX"",
    ""id"": null
  }
}",[],false
