notes,subject,startTime,endTime,__key__,__error__,__has_error__
Lass dir für die Übung so viel Zeit wie du benötigst,,2022-09-13 23:07:23.277000 UTC,2022-09-13 23:22:23.277000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""DVATcSqgCv0FvGKAASnd\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""DVATcSqgCv0FvGKAASnd"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,,2022-05-27 13:53:22.561000 UTC,2022-05-27 14:08:22.561000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""oscjHbJ8ktElgDbzTHlh\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""oscjHbJ8ktElgDbzTHlh"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,,2022-06-29 12:58:08.090000 UTC,2022-06-29 13:13:08.090000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""tb5F7aUpdsAiON7wIJ2Q\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""tb5F7aUpdsAiON7wIJ2Q"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,,2022-05-31 09:31:00.000000 UTC,2022-05-31 09:46:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""fHrkNtaGFIWyO2t5BPfa1vfU76R2\"", \""scheduledExercises\"", \""ZJwTqOa0GxPtyhsbgTOV\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""ZJwTqOa0GxPtyhsbgTOV"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Spaß finden,2022-06-23 20:13:00.000000 UTC,2022-06-23 20:28:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""sBiEjDKG8AeMsSt6d3fzaBUNiEr1\"", \""scheduledExercises\"", \""BNfBjRzdE8LrLkFrmuJF\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""BNfBjRzdE8LrLkFrmuJF"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Meine Erfolge,2022-05-26 18:00:00.000000 UTC,2022-05-26 18:15:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""wa5RASoCJpCXxy194Pzu\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""wa5RASoCJpCXxy194Pzu"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Selbstdisziplin,2022-06-22 12:02:00.000000 UTC,2022-06-22 12:17:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""AYMjsxOXWm3z5ynlxc5o\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""AYMjsxOXWm3z5ynlxc5o"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Stresslandkarte,2022-09-13 23:20:03.545000 UTC,2022-09-13 23:35:03.545000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""r7TVdLKvDdktoOd8hiT6\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""r7TVdLKvDdktoOd8hiT6"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Positiver Wandel,2022-06-02 11:53:00.000000 UTC,2022-06-02 12:08:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""sBiEjDKG8AeMsSt6d3fzaBUNiEr1\"", \""scheduledExercises\"", \""mAXEr0mJERQLgyLNsoxk\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""mAXEr0mJERQLgyLNsoxk"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Stärkensammlung,2022-06-06 21:37:52.339000 UTC,2022-06-06 21:52:52.339000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""STUeuf9wI4WlesemaJqItqCpB553\"", \""scheduledExercises\"", \""TvcLR316hVDWflrllZs2\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""TvcLR316hVDWflrllZs2"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Backcasting-Übung,2022-06-07 21:38:00.000000 UTC,2022-06-07 21:53:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""STUeuf9wI4WlesemaJqItqCpB553\"", \""scheduledExercises\"", \""FzmrGCFCGJhKAMH2JRDP\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""FzmrGCFCGJhKAMH2JRDP"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Backcasting-Übung,2022-06-06 07:00:00.000000 UTC,2022-06-06 07:15:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""STUeuf9wI4WlesemaJqItqCpB553\"", \""scheduledExercises\"", \""sBfNVFCFhDi4FJrNLDDp\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""sBfNVFCFhDi4FJrNLDDp"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Wertschätzungstagebuch,2022-06-23 18:00:00.000000 UTC,2022-06-23 18:15:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""sBiEjDKG8AeMsSt6d3fzaBUNiEr1\"", \""scheduledExercises\"", \""C6Kn1PWEvOPnI24i6DlM\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""C6Kn1PWEvOPnI24i6DlM"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Bewusster Energiespender,2022-09-13 23:18:46.243000 UTC,2022-09-13 23:33:46.243000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""q5oRHY3IG4QnLmOg7eKj\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""q5oRHY3IG4QnLmOg7eKj"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Anker zum abendlichen Abschalten,2022-06-11 12:00:00.000000 UTC,2022-06-11 12:15:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""fHrkNtaGFIWyO2t5BPfa1vfU76R2\"", \""scheduledExercises\"", \""XU505NRn9uXPLQ9bd3Sm\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""XU505NRn9uXPLQ9bd3Sm"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Erwartungshaltungen überprüfen,2022-05-30 14:00:00.000000 UTC,2022-05-30 14:15:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""f1t5ItGTUi1TY5zUp28H\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""f1t5ItGTUi1TY5zUp28H"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Werte & Handlungen in Einklang bringen,2022-05-24 13:28:46.103000 UTC,2022-05-24 13:43:46.103000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""8Ii0tMPUWY6PYlqXRJD0\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""8Ii0tMPUWY6PYlqXRJD0"",
    ""id"": null
  }
}",[],false
Lass dir für die Übung so viel Zeit wie du benötigst,Werte & Handlungen in Einklang bringen,2022-06-03 16:00:00.000000 UTC,2022-06-03 16:15:00.000000 UTC,"{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""FkpxsnbsaeX8PCN16qUGAD8TC9v1\"", \""scheduledExercises\"", \""BlF5eFOJzyL2s7D4jB2y\"""",
    ""kind"": ""scheduledExercises"",
    ""name"": ""BlF5eFOJzyL2s7D4jB2y"",
    ""id"": null
  }
}",[],false
