,Bez.,Sinnfindung,Burnout,Depression,Selbstbwusstsein,Beziehungsberatung,Selbstdisziplin,Motivation,Stressmanagement,Zeitaufwand,Trigger-Rating,Intensitt,Zweck,Kategorie,Tageszeit,Push-Meldung zur bung,bungsart/Durchfhrungsweise,Rational,Durchfhrbarkeit,Wirksamkeit,Verstndlichkeit,Hilfestellung,Qualitt-Ergebnis,Quelleinverifizierung 1,Besonderheiten,Filter-Ausschluss,Titel-Button,Titel,Quelle Ursprung,Beschreibung,Rational,Quelle Rational,Anweisungen,Material,HIlfestellung,Tabellen etc.,Anwendung,"Interkatives Element (Tabellen, Bilder, Audio, Video, Swipe-Bewegung um zB etwas zu lschen aus einer Tabelle, sonstiges Element was gut wre um die bung lebhaft + abwechslungsreich + animiert zu machen,..)",Farblegende
0,1.01,nein,nein,nein,nein,nein,ja,ja,ja,12h / 3 min,Schwach,Anfang,Selbst Tracking strkt das Bewusstsein fr eigene Empfindungen; Training um Aufmerksamkeit auf eigene Gefhle zu lenken; Strkung Selbstkontrolle; Muster erkennen,"Selbstkontrolle, Gefhle bewusst machen, Selbsterkenntnis",alle,"Ja, bruchte alle 1-2 h eine Erinnerung an Einschtzung",praktisch,1,1,"0,5",1,1,"0,82",vorhanden,,,Erkenne Deinen Tag,Erkenne Deinen Tag,,"Einen ganzen Tag widmest Du Dich jede volle Stunde der Beantwortung von drei Fragen, die sich auf Dein jeweiliges Erleben und Verhalten whrend dieser Stunde beziehen. Mit Abschluss der bung kannst Du Dein Erleben und Verhalten im Tagesverlauf reflektieren und prfen ob Du zuknftige Tage genau so oder anders erleben mchtest.","Diese bung ermglicht es Dir, einen Tag in Deinem Leben aus einer anderen Perspektiv zu betrachten. Nach Abschluss der bung schaust Du wie ein Beobachter auf das, was Du im Laufe dieses Tages erlebt und wie Du Dich verhalten hast. Damit machst Du Dich selbst zum Thema, denn vor allem unser Erleben lsst sich nicht so einfach beobachten. Erhhte Aufmerksamkeit auf Dich selbst kann es Dir erleichtern zu verstehen, warum Du Deinen Tag wie erlebst und wie Du Dich verhltst. Das ist ein wichtiger Baustein wenn es darum geht, Deinen Tag so zu gestalten, dass Du Dich mit Deinem Erleben und Verhalten wohl fhlst.","Pritz, S. M. (2016). Mood Tracking: Zur digitalen Selbstvermessung der Gefhle. In: S. Selke (Ed.), Lifelogging (pp. 127150). Springer. doi:10.1007/978-3-658-10416-0_6","Beantworte die folgenden drei Fragen innerhalb von 24 Stunden 1x stndlich, auer wenn Du schlfst. Deine Antworten kannst Du direkt hier eintragen. Hier sind Deine drei Fragen:\n
Wie habe ich die vergangene Stunde verbracht?
Wie habe ich mich in der vergangenen Stunde gefhlt?
Wie war die vergangene Stunde fr mich? (schlecht/mittelmig/gut)",Optional: Stift und Papier,Versuche die Beantwortung der Fragen ohne Bewertung vorzunehmen.,Nr.,,"Tabelle zum Ausfllen mit vier Spalten (3 fr Inhalte, Gefhle, Bewertung) und Zeilen fr die einzelnen Stunden knnen manuell hinzugefgt werden",gecheckt von Zweitkorrektor:in
1,1.02,ja,nein,nein,ja,nein,nein,nein,nein,15,Schwach,Anfang,"Strken herausfinden, etwas dauerhaftes haben zu dem zurckgekehrt werden kann, was die Strken verdeutlicht. Im stressigen Alltag geht es schnell verloren, dass man Dinge gut kann, sodass diese bung auch die vorhandenen Ressourcen & Struktur strken soll.","Strken, Ressourcen, Struktur",alle,Nein,praktisch,1,1,"0,5",1,1,"0,82",vorhanden,Kann ebenso wie 1.24 immer mal wieder angezeigt werden,,Strkenkrtchen,Strkenkrtchen,"Diese bung zielt darauf ab, Deine individuellen Strken durch gezieltes Nachdenken herauszufinden. Anhand Deiner besonderen Strken, Fhigkeiten und Fertigkeiten beziehungsweise anhand von Ttigkeiten, die Dir Spa machen oder an denen du noch arbeiten mchtest, stellst Du Dein persnliches Strkenkrtchen zusammen. ","Diese bung zielt darauf ab, Deine individuellen Strken herauszufinden. Durch gezieltes Nachdenken ber Deine Strken, die Dinge, die Du gut kannst & die Dir Spa machen, stellst Du Dein individuelles Strkenkrtchen zusammen. Du kannst hier ebenso Dinge eintragen, an denen Du noch arbeiten mchtest, die Du also verbessern willst.","Dein Strkenkrtchen ist vor allem in Lebenslagen hilfreich, in welchen Du Dich weniger selbstbewusst fhlst. Es kann Dir dabei helfen, Dir Deine Strken wieder vor Augen zu fhren. Deine Strken zu kennen macht es zudem wahrscheinlicher, dass Du gesetzte Ziele auch erreichst.",,"Erstelle Dein Strkenkrtchen, indem Du Deine persnlichen Strken, ohne eine bestimmte Reihenfolge schriftlich in Stichpunkten oder in Stzen auflistest. Die folgenden Fragen knnen Dir helfen, aber du musst nicht alle beantworten:\n
Was kann ich besonders gut?
Was fllt mir leicht?
Was bereitet mir Freude?
Wofr werde ich geschtzt oder gelobt?
In welchen Bereichen verfge ich ber besonderes Wissen?
",Stift und Papier,"Du knntest auch Bekannte oder Dir nahestehende Menschen fragen, was in ihren Augen Deine Strken sind. Auch wenn Dir das vielleicht unangenehm ist, so knnen daraus hilfreiche und erfreuliche Gesprche entstehen.",Nr.,,Zweispaltige Tabelle als Beispiel mit verbundener ersten Zeile & die gleiche Tabelle zum selbst ausfllen ,"Klrungsbedarf, siehe Kommentarspalte"
2,1.04,nein,nein,nein,ja,ja,nein,nein,nein,6,Schwach,Anfang,"Herauszufiltern, welche energiefressende Menschengruppen sind & mit welchem Menschen man lieber zu tun hat. Anschlieende Ausrichtung des Lebens darauf, um weniger Energie zu verlieren.","Alltagsausrichtung, Energiefresser vermeiden, Struktur",alle,Nein,imaginr,1,1,"0,5",1,1,"0,82",vorhanden,,nicht wenn 2.4.3 schon gemacht wurde,Gsteliste,Gsteliste,"mentalport, 2021","In der bung stellst Du Dir vor, dass Du zu einer Party Deine liebsten Gste einldst. Anschlieend berlegst Du Dir in welcher Beziehung sie zu Dir stehen und welche Gemeinsamkeiten sie haben um an Ende einen Vorstellung davon zu haben, welche Menschen Du in Deinem Leben aktuell gern um Dich hast und/oder in Zukunft haben mchtest.","Wenn Du Deine Lieblingsgruppen kennst gibt Dir das die Kraft, Dich auf diese zu konzentrieren und Dich von anderen Menschen, die Dir nicht gut tun, fernzuhalten. Es wird Dir zuknftig leichter fallen, so zu handeln.",62,"Erstelle in Gedanken eine Gsteliste fr eine Party mit Menschen, die Dir sympathisch sind oder die Du gerne kennenlernen mchtest.\n Anschlieend stelle dir vor: Deine Gefhle als Gastgeberin, die Gesprchsthemen und Stimmung auf der Party sowie die Kleidung von Dir und Deinen Gsten.\n berlege nun, mit welchen Menschen Du Dich zuknftig umgeben mchtest und welche Du meidest. ",Kein Material erforderlich,"Denke auch an Menschen oder Menschengruppen, die Dir nicht gut tun.",N/A,,-,
3,1.06,ja,nein,nein,nein,ja,nein,ja,nein,20,Schwach,Mittel,Sich selbst besser kennen lernen.,"Sich besser kennen lernen, Selbstverstndnis & Auseinandersetzen mit sich selbst, Selbsterkenntnis, Selbstverstndnis",abends,Nein,praktisch,0,1,"0,5",1,1,"0,7",vorhanden,,,Prgungstabelle,Prgungstabelle,"Nawatzki, J. (2013). Mit Selbstcoaching zum Traumjob. Springer. doi:10.1007/978-3-658-01309-7","Im Laufe unseres Lebens sammeln wir stndig Eindrcke und einige davon prgen uns nachhaltig, begleiten uns ein Leben lang. Wir treffen auf neue Menschen oder hren unbekannte Lieder, die ein ""Das werde ich nie vergessen!"" auslsen. Genau solche Erfahrungen sind Thema der bung.","Die bung zielt darauf ab, Dich selbst besser kennenzulernen und dieses Wissen fr Deine Zukunft nutzen zu knnen.",,"Erinnere Dich an prgende Erfahrungen in Deinem Leben und frage Dich, warum diese prgend waren.\n Als Hilfestellung findest Du in der ersten Spalte der Tabelle einige Oberkategorien zum Einordnen Deiner Erfahrungen. Findest Du zu einer Kategorie keine prgende Erfahrung, lasse die betreffende Zeile leer. Du kannst die erste Spalte auch um eigene Kategorien ergnzen.",Optional: Stift und Papier,"Mglicherweise fllt es Dir schwer, die Frage nach prgenden Erfahrungen in Deinem Leben zu beantworten. Versuche dann die Erfahrungen abzurufen, die Du am genausten in Erinnerung hast, wenn Du zurckdenkst und etwa an Deine Begegnung mit bis dahin noch fremden Menschen denkst.",Nr.,,"Tabelle zum ausfllen mit vier Spalten, 1. Zeile & 1. Spalte ausgefllt, Rest kann selbst ausgefllt werden",
4,1.07,ja,nein,nein,nein,nein,ja,ja,nein,25-30,Schwach,Mittel,"Aus vorhandenen Strken selbst Ttigkeiten entwickeln, um diese durchzufhren. Dadurch soll selbst eine sinnstiftende Ttigkeit gefunden werden, die Spa macht.","Sinnstiftung, Struktur, neue Ttigkeit ausdenken um etwas zu finden was den Strken entspricht, Selbsterkenntnis",abends,Nein,praktisch,1,1,"0,5","0,8",1,"0,78",stammt von uns,nach 1.2,,Spa finden,Spa finden,"Nawatzki, J. (2013). Mit Selbstcoaching zum Traumjob. Springer. doi:10.1007/978-3-658-01309-7","Die bung besteht in einer vertiefenden Auseinandersetzung mit Deinen Strken. Du leitest Ttigkeiten aus Deinen Strken ab und legst dann eine bersicht von Ttigkeiten an, an denen Du Spa hast.",,"Miller, A. & Mattson, R. T. (1989). The truth about you. Fleming H. Revell Co..","Fhre Dir zunchst Deine Strken deutlich vor Augen. Solltest du hierbei Schwierigkeiten haben, fhre vorab die bung Strkenkrtchen durch. Verbinde jede Deiner Strken mit einer Ttigkeit die dadurch begnstigt wird.\n Beantworte nun die folgenden Fragen in Bezug auf die von Dir gewhlten Ttigkeiten und trage die Antworten in die Tabelle ein.\n Danach beginnst Du mit der Analyse: berlege Dir fr die Ttigkeiten, bei denen Du in allen Spalten ""ja"" eingetragen hast, drei Einsatzmglichkeiten.\n
Beispiel Fremdsprachen als Strke:
1. Auslandsaufenthalt
2. Sprachkurs anbieten
3. Kontakt zu Muttersprachlern knpfen
",Optional: Stift und Papier,"Aus Deinen Strken kannst Du eine groe Zahl an Ttigkeiten ableiten. Wenn Du nach dem Befllen einer Tabellenzeile also nicht zufrieden mit dem Ergebnis bist, kannst Du einfach ber weitere Ttigkeiten nachdenken, die Du noch aus einer bestimmten Strke formen knntest.",Nr.,,"Tabelle zum ausfllen mit fnf Spalten, 1. Zeile vor-ausgefllt",
5,1.08,ja,nein,nein,nein,nein,nein,nein,nein,30-40,Schwach,Mittel,"Erkennen eigener Kompetenzen, Finden einer Ttigkeit die Spa & Sinn bereitet, Ausrichtung des Berufes auf vorhandene Kompetenzen, sich besser kennen lernen.","Auseinandersetzung mit sich selbst, Selbsterkenntnis, Ttigkeit finden, Strken",alle,Nein,praktisch,1,1,"0,5",1,1,"0,82",vorhanden,,,Roter Faden,Roter Faden,"mentalport, 2021","In der bung beschftigst Du Dich aktiv mit bisherigen Erfolgserlebnissen. Ziel der bung ist es, Dir den ""roten Faden"" in Deinem Leben bewusst zu machen und zu erkennen, was Dir bisher Spa gemacht hat und was Dir auch in Zukunft Spa bereiten knnte.","Diese bung geht auf das Konzept der unbewussten Phantasie, welches von der Psychoanalytikerin Isaacs 1948 beschrieben wurde, zurck. Diese bung versucht, unbewusste Wnsche aus unserem Innern hervorzuholen. Diese finden wir meist in unserer Kindheits- und Jugendzeit. ","Isaacs, S. (1948). The nature and function of phantasy. The International Journal of Psychoanalysis, 29, 7397.","Um Deine bisherigen Erfolgserlebnisse abrufen zu knnen, hltst Du Dich zunchst an besondere Lebensereignisse. Gehe chronologisch vor und beginne mit dem Ereignis, welches am weitesten zurckliegt.\n 
Flle hierfr folgende Tabelle aus: 
1. Spalte: Alter 
2. Spalte: besonderes Lebensereignis
3. Spalte: Ttigkeit, die Dir Freude & Erfolg bescherten
4. Spalte: Hobby & Freizeit
5. Allgemeines Lebensgefhl zu dieser Zeit\n

Beispiel Kindergartenzeit:
1. Alter 4 Jahre
2. Kindergartenzeit
3. Bilder malen
4. Kinderturnstunde 
5. Unbeschwertheit, Abenteuerlust
Fahre fort bis Du in Deinem aktuellen Lebensabschnitt ankommst.\n 
Schreibe nun ber fnf dieser Erfolge je eine kurze Geschichte und berlege, warum Dich diese Erinnerung und dieser Erfolg berhren. Diese Geschichte soll die Herausforderungen & Aufgaben in dieser Zeit, Vorgehensweisen und Ergebnisse enthalten.\n 
Unterstreiche in jeder Geschichte die von Dir eingesetzte Kompetenzen. Ordne diese den Kernkompetenzen den folgenden Kategorien dieser Tabelle zu: 
1. Spalte: Kompetenz
2. Spalte: Umgang mit Menschen
3. Spalte: Umgang mit Informationen und Konzepten
4. Spalte: Kreative Fhigkeiten
5. Spalte: Umgang mit Material, Werkzeug und Maschinen\n

In der abschlieenden Auswertung betrachtest Du, welche Ttigkeiten Dir groen Spa bereiteten und welche Kompetenz-Kategorie an Eintrgen berwiegt. 
Was fllt Dir dabei auf? 
Gibt es Kompetenzbereiche die berwiegen? 
Kannst Du Dir vorstellen, anhand dieser Kompetenzen Dein berufliches Leben auszurichten?
 ",Optional: Stift und Papier,,Nr.,,"Tabelle zum ausfllen mit vier Spalten, 1. Zeile & 1. Spalte ausgefllt, Rest kann selbst ausgefllt werden",
6,1.09,ja,nein,nein,ja,nein,nein,nein,nein,2-8 * 10,Schwach,Anfang,"Auseinandersetzung mit sich selbst, sich besser kennen lernen, Selbstwirksamkeit strken, ber einen lngeren Zeitraum Strken sammeln, bewusst werden ber eigene Potentiale","Selbsterkenntnis, Strken, Ressourcen, Potential",alle,"Ja, sobald bung 1 Woche bei ""aktuell"" ist und noch nicht genug Items gefunden wurden.",praktisch,1,1,1,1,1,1,vorhanden,"Zustzlich: Dialogfeld --> Abfrage ob bereits fertig gestellt wurde wenn genug Items vorhanden --> so lange bei ""aktuell"" anzeigen",,Strkensammlung,Strkensammlung,"Happich, G. (2014). Was wirklich zhlt! (2nd ed.). Springer. doi:10.1007/978-3-658-06498-3","Im Rahmen der bung legst Du eine Liste mit insgesamt 60 Strken an. Die Liste erstellst Du dabei nicht in einem Mal, sondern arbeitest ber einen lngeren Zeitraum immer wieder daran.","Dir ber Deine eigenen Strken im Klaren zu sein, ist eine wichtige Grundlage fr die Entwicklung Deiner mentalen Strke. Weit Du, was Deine Strken sind, so kannst Du Dich vor allem in schwierigen Lebenslagen darauf zurckberufen. Du hast parat, was Du kannst und was Dich einzigartig macht, solltest Du das scheinbar ""vergessen"" haben. Das kann Dir Halt geben und Dich schwierige Phasen erfolgreich berwinden lassen.","Knrzer, W., Amler, W., Heid. S., Janiesch, J., & Rupp, R. (2019). Das Heidelberger Kompetenztraining. Springer. doi:10.1007/978-3-658-24397-5
","Ziel der bung ist es, eine Liste zu erstellen, die 60 Strken enthlt, die Du und/oder andere Menschen Dir zuschreiben. Folgende Fragen knnen Dir helfen, Deine Strken zu finden:\n
Was kann ich gut?
Worin bin ich talentiert?
Welche Fhigkeiten habe ich?\n
Was ist mir wichtig?
Was fllt mir besonders leicht?
Wofr loben oder bewundern mich andere Menschen?",Optional: Stift und Papier,"In Ergnzung zu den Leitfragen kannst Du auch berlegen, bei welchen Dingen Du sehr ungeduldig wirst, wenn Du sie andere Menschen tun siehst. Das kann ein Hinweis darauf sein, dass Du in diesen Dingen besonders gut bist und Dir so eine Strke aufzeigen.
Auerdem mssen Strken nicht immer gleich etwas sein, das kein anderer Menschen sonst noch kann. Denke also auch an alltgliche Situationen, in denen Du Dich einfach gut fhlst.",N/A,,Vlt. ein Textfeld fr jede Frage,
7,1.10,ja,nein,nein,ja,nein,ja,ja,nein,8,Schwach,Anfang,"Selbstbewusstsein & Selbstwirksamkeit strken, Strken entdecken, Auseinandersetzung mit sich selbst","Selbsterkenntnis, Strken, Selbstbewusstsein, Selbstwirksamkeit, Potential",alle,Nein,praktisch,1,1,"0,5",1,1,"0,82",vorhanden,"5 mal durchfhren, bis 5 Erfolgsgeschichten gefunden wurden --> mehrmals machen",,Erfolgsgeschichten,Erfolgsgeschichten,"Happich, G. (2014). Was wirklich zhlt! (2nd ed.). Springer. doi:10.1007/978-3-658-06498-3","In dieser bung wirst Du dazu angeleitet Situationen, die Du erfolgreich gemeistert hast, in eine Geschichte zu verpacken, in welcher der Fokus auf Deinen Strken liegt, die Du in der jeweiligen Situation zum Ausdruck bringen konntest. Am Ende der bung hast Du deine persnliche Erfolgsgeschichte entwickelt, die Du Dir immer wieder bewusst machen und lesen kannst. ","Die bung zielt auf eine Strkung Deines Selbstbewusstseins ab und kann Deine Selbstwirksamkeit positiv beeinflussen. Unter Selbstwirksamkeit verstehen wir unsere berzeugung, Herausforderungen durch unser eigenes Handeln erfolgreich meistern zu knnen.","Happich, G. (2014). Was wirklich zhlt! (2nd ed.). Springer. doi:10.1007/978-3-658-06498-3","Erinnere Dich zunchst an einen persnlichen Erfolg, Glcksmoment oder eine Zielerreichung zurck und widme Dich folgenden Fragen:\n
Wie kam es dazu, was ist davor passiert? 
Wie hast Du die Situation erlebt, wie hast Du Dich gefhlt? 
Wie hast Du Dich in der Situation verhalten? 
Wenn auch andere Menschen involviert waren, was haben Sie getan?\n
Verfasse nun Dein Erfolgserlebnis mndlich oder schriftlich in eine Geschichte. 
 ",Optional: Stift und Papier,"Versuchst Du im Nachgang herauszufinden, welche Strken Du in den soeben formulierten Erfolgsgeschichten zum Ausdruck bringen konntest, so kann es Dir helfen, die Perspektive zu wechseln: Wenn Dir ein anderer Mensch Deine Erfolgsgeschichte erzhlen wrde, was wrdest Du diesem Menschen dann fr Strken zuschreiben?",N/A,,-,
8,1.13,ja,nein,nein,ja,nein,nein,nein,nein,5*5,Schwach,Anfang,"Alternative um Strken zu entdecken, Auseinandersetzung mit sich selbst","Strken, andere um Rat bitten",alle,Nein,praktisch,1,1,"0,5",1,1,"0,82",vorhanden,"Andere um Rat bitten, Alternative fr eine bung um Strken zu finden",,Strkeninterview,Strkeninterview,"mentalport, 2021","In dieser bung geht es um die Strken, die andere Menschen in Deinem Umfeld in Dir sehen. Dir werden einige Fragen prsentiert, die Du ausgewhlten Menschen in Deinem Umfeld stellen kannst. In der bung springst Du ber Deinen eigenen Schatten und bekommst dafr hilfreiche Rckmeldungen von Menschen, die Dir nahe stehen.","Die Nutzung der eigenen Strken hngt mit positiven Vernderung zum Beispiel in Deiner Motivation, Deinem Wohlbefinden und Deiner Zufriedenheit zusammen. Um Deine Strken nutzen zu knnen ist es hilfreich, Dich mit ihnen auseinander zu setzen. An den eigenen Strken zu arbeiten, wozu auch das Gesprch mit anderen Menschen ber die eigenen Strken gehrt, ist zudem vielversprechender als die Arbeit an den eigenen Schwchen. ","Mangelsdorf, J. (2020). Positive Psychologie im Coaching. Springer. doi:10.1007/978-3-658-27632-4
Peterson, C., & Seligman, M. E. P. (2004). Character strengths and virtues: A handbook and classification. Oxford University Press.","berlege, mit welchen 5 Menschen aus Deinem Umfeld beispielsweise Familienmitglieder, Freund:innen oder Kolleg:innen, Du gut auskommst und gegenber welchen Du besonderes Vertrauen empfindest. Bitte diese Menschen Dir dabei zu helfen, Deine Strken herauszufinden. \n Stelle Ihnen folgende Fragen:
Was denkst Du, kann ich besonders gut? 
Was denkst Du, kann ich besser als andere Menschen?\n 
Weswegen wrdest Du mich einem anderen Menschen empfehlen? 
Gibt es etwas an mir, was kein anderer Mensch hat, den Du kennst?
",Optional: Stift und Papier,"Wenn es Dir leichter fllt, jemanden um einen Gefallen zu bitten, wenn Du eine Gegenleistung anbieten kannst, dann knntest Du vorschlagen, dass Du dieselben Fragen auch fr den anderen Menschen beantworten kannst.",N/A,,-,
9,1.14,nein,ja,ja,ja,nein,ja,ja,ja,3,Schwach,Anfang,"Verknpfung von Stressfaktoren mit einem Ritual zur Stressreduktion, Beginn Freizeit, Struktur","Abschalten, Ritual, Entspannung, Reflexion, Umgang mit Stress, Struktur, Energie",alle,"Ja, Nachfrage nach 48 h ob Gedanken zur Arbeit noch aufkommen - falls ja dann 1.25 anbieten",imaginr,1,1,1,1,1,1,vorhanden,48 h nach beenden der bung nachfragen ob diese Gedanken noch aufkommen & falls ja dann 1.25 anbieten,,Abendlicher Anker,Anker zum abendlichen Abschalten,"Knig, R. (2020). Schnelle Hilfe bei Burnout. Springer. doi:10.1007/978-3-658-30301-3","In dieser bung findest Du eine Ttigkeit, ein Ritual oder auch einen Gegenstand (einen ""Anker""), der Dir hilft, am Abend abzuschalten.","Solche Anker-Rituale in hohem Mae dazu bei, eine Struktur und Entspannung in den Alltag zu bringen. Ein Anker ist also hilfreich um Abstand zu gewinnen und um abzuschalten. Die Einbindung eines Ankers kann bei bewusster Anwendung langfristig dazu fhren, dass in unserem Krper eine heilende Wirkung entsteht.","Rennung, M., Gritz, A.S. Die Wirkung organisationaler Rituale  Eine qualitative Interviewstudie. Gr Interakt Org 48, 327338 (2017). https://doi.org/10.1007/s11612-017-0379-1; Grn, A. (1997). Geborgenheit finden - Rituale feiern: Wege zu mehr Lebensfreude ([Nachdr.].). Stuttgart: Kreuz-Verlag.","berlege Dir zunchst, was Du nach getaner Arbeit zum Feierabendbeginn tust. In dieser bung bedienen wir uns eines Symbols: einen Anker. Dieser steht fr Sicherheit, Halt und Ruhe.\n berlege dir nun welche Ttigkeit, welches Ritual und/oder welcher Gegenstand fr Dich ein Anker sein knnten. Ein solcher Anker kann z. B. das Herunterfahren Deines Computers sein (Ttigkeit), das tiefe Luftholen nachdem Du Deinen Arbeitsplatz verlassen hast (Ritual) und/oder das feste Umfassen Deines Haustrschlssels, bevor Du Deine Haustre aufschliet.\n Diesen Anker kannst Du nun ganz bewusst einsetzen und somit sind smtliche arbeitsbezogenen Belange nicht mehr Deine Prioritt. berlege Dir dazu einen positiven Glaubenssatz, den Du Dir selbst aufsagen kannst, sobald Du deinen Anker setzt. Zum Beispiel: ""Jetzt gehrt der Tag mir!"" Versuche ein Gefhl der Freiheit in Dir aufleben zu lassen und mit allen Sinnen wahrzunehmen. ",Optional: Stift und Papier,"Um einen geeigneten Anker fr Dich zu finden kannst Du auch darber nachdenken, welche Ttigkeit am Tag fr Dich mit der grten Freude verbunden ist. Mglicherweise eignet sich diese auch als Anker.",N/A,,-,
