exerciseIds,timeStamp,completionTimestamps,exercises,__key__,__error__,__has_error__
"[2.29,2.42.1,1.9,1.69,1.85,1.104,2.7.5]",2022-01-16 19:55:58.743000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""0FBbronXPsXpYHNOownwnrbUlN13\"", \""weeklyExerciseLists\"", \""51EdNba4hNxiuGbsyI9O\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""51EdNba4hNxiuGbsyI9O"",
    ""id"": null
  }
}",[],false
"[2.8.1,1.43.2,1.69,2.15,2.20,1.104,1.10]",2022-01-16 19:56:48.541000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""0FBbronXPsXpYHNOownwnrbUlN13\"", \""weeklyExerciseLists\"", \""C0OINbEedVWTMbfMIloj\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""C0OINbEedVWTMbfMIloj"",
    ""id"": null
  }
}",[],false
"[1.106,1.63,1.102,1.87,1.67.4,1.81,1.87]",2022-01-16 19:52:40.020000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""0FBbronXPsXpYHNOownwnrbUlN13\"", \""weeklyExerciseLists\"", \""IeEA4ul0dHtU1oDRUXEJ\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""IeEA4ul0dHtU1oDRUXEJ"",
    ""id"": null
  }
}",[],false
"[1.67.1,1.103,1.61,1.4,1.75.3,1.73.1,2.8.2]",2022-01-16 19:57:54.856000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""0FBbronXPsXpYHNOownwnrbUlN13\"", \""weeklyExerciseLists\"", \""MCMybHUglNEeJtWIej7E\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""MCMybHUglNEeJtWIej7E"",
    ""id"": null
  }
}",[],false
"[2.64,1.74.1,2.36,1.68.5,1.43.2,2.65,1.4]",2022-01-16 19:10:49.358000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""sBiEjDKG8AeMsSt6d3fzaBUNiEr1\"", \""weeklyExerciseLists\"", \""Vf1L0xep8CtxsPen279B\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""Vf1L0xep8CtxsPen279B"",
    ""id"": null
  }
}",[],false
"[1.68.8,1.23,1.8,1.33,1.74.2,1.80.7,1.30,2.36,1.80.2,1.49]",2022-01-11 19:16:48.621000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""sBiEjDKG8AeMsSt6d3fzaBUNiEr1\"", \""weeklyExerciseLists\"", \""dbVVYTNwa1L4RgQrP27B\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""dbVVYTNwa1L4RgQrP27B"",
    ""id"": null
  }
}",[],false
"[1.62,1.30,1.18,1.09,1.27,1.92,2.14,2.55,2.5]",2022-02-07 19:12:53.026000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""sBiEjDKG8AeMsSt6d3fzaBUNiEr1\"", \""weeklyExerciseLists\"", \""qGPZJ943yZIShJJS14tK\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""qGPZJ943yZIShJJS14tK"",
    ""id"": null
  }
}",[],false
"[2.2,2.12.2,2.39,1.81,1.67.1]",2021-12-31 17:19:18.319000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""sJqrtO0ZvBhF8W9D8m26X39msX33\"", \""weeklyExerciseLists\"", \""2qaBXOmgflT3IBQoJHQf\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""2qaBXOmgflT3IBQoJHQf"",
    ""id"": null
  }
}",[],false
"[1.35,1.31,1.71,2.23,1.28,1.48,1.39,1.55]",2022-06-02 09:15:28.144000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""sV3pN2YkkAe9eEKgbhKd2DSZTm53\"", \""weeklyExerciseLists\"", \""pbOIT2sIH1yxPBD5lmnK\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""pbOIT2sIH1yxPBD5lmnK"",
    ""id"": null
  }
}",[],false
"[1.70,1.74.1,1.68.8,1.77,1.43.1]",2022-01-07 19:01:03.548000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""u9LDD2DN6uNXR3atiXIKxxpjPYq2\"", \""weeklyExerciseLists\"", \""I8TqH6iZcoavS1gw9dOO\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""I8TqH6iZcoavS1gw9dOO"",
    ""id"": null
  }
}",[],false
